inquiry_id,created_at,employee_id,employee_department,support_department,category,topic,source,search_minutes,asking_minutes,response_wait_minutes,answering_minutes,resolved,period
B0001,2026-05-26 09:21:00,E0169,기획,,총무,비품,internal_document,6.7,1.3,6.7,0.0,1,pre_chatbot_1m
B0002,2026-05-03 05:45:00,E0078,IT운영,,총무,택배/우편,internal_document,6.6,2.1,6.4,0.0,1,pre_chatbot_1m
B0003,2026-05-29 02:56:00,E0177,인사,,IT,VPN,coworker,13.5,2.0,12.2,4.2,1,pre_chatbot_1m
B0004,2026-05-06 06:08:00,E0290,고객지원,,IT,네트워크,coworker,7.4,2.7,16.4,6.7,1,pre_chatbot_1m
B0005,2026-05-14 01:02:00,E0003,인사,,IT,VPN,internal_document,8.6,2.1,3.5,0.0,0,pre_chatbot_1m
B0006,2026-05-04 10:08:00,E0092,기획,인사팀,인사,연차,support_department,5.8,3.1,7.0,16.3,1,pre_chatbot_1m
B0007,2026-05-19 04:20:00,E0228,영업,,총무,회의실,coworker,6.3,0.7,11.2,2.5,1,pre_chatbot_1m
B0008,2026-05-26 22:13:00,E0186,재무,,인사,급여,coworker,6.4,2.4,15.0,6.8,1,pre_chatbot_1m
B0009,2026-05-27 23:42:00,E0219,개발,,IT,프로그램 설치,senior,3.7,2.0,29.0,6.4,1,pre_chatbot_1m
B0010,2026-05-30 02:57:00,E0162,고객지원,,총무,비품,coworker,5.6,1.9,1.0,2.8,1,pre_chatbot_1m
B0011,2026-05-04 10:44:00,E0037,기획,,IT,네트워크,senior,4.2,1.6,4.8,5.3,1,pre_chatbot_1m
B0012,2026-05-11 16:43:00,E0234,디자인,,인사,급여,senior,9.9,2.4,21.9,5.0,1,pre_chatbot_1m
B0013,2026-05-20 04:15:00,E0180,개발,IT지원팀,IT,계정,support_department,9.3,3.3,55.8,8.2,1,pre_chatbot_1m
B0014,2026-05-05 22:21:00,E0229,기획,총무팀,총무,비품,support_department,6.6,2.8,19.6,9.1,1,pre_chatbot_1m
B0015,2026-05-03 21:17:00,E0272,개발,경영지원팀,일반규정,재택근무,support_department,6.8,1.3,40.3,13.1,1,pre_chatbot_1m
B0016,2026-05-26 18:15:00,E0108,기획,재무팀,재무,경비,support_department,6.1,2.5,19.7,13.3,1,pre_chatbot_1m
B0017,2026-05-16 07:09:00,E0215,IT운영,IT지원팀,IT,계정,support_department,8.1,3.5,52.2,9.3,1,pre_chatbot_1m
B0018,2026-05-11 05:36:00,E0215,영업,,IT,프로그램 설치,senior,13.1,1.7,1.0,6.3,1,pre_chatbot_1m
B0019,2026-05-22 09:19:00,E0014,고객지원,,인사,근태,senior,5.5,2.3,16.8,3.4,1,pre_chatbot_1m
B0020,2026-05-28 18:58:00,E0019,기획,재무팀,재무,법인카드,support_department,7.5,2.4,13.6,9.2,1,pre_chatbot_1m
B0021,2026-05-04 20:29:00,E0047,영업,,재무,경비,senior,8.2,1.8,15.3,6.1,1,pre_chatbot_1m
