date,period,cpu_pct,memory_pct,disk_pct,api_latency_ms,p95_response_ms,api_calls,error_count,db_write_failures,log_collection_failures,monitor_process_health,status
2026-06-01,initial_1m,19.0,54.8,51.9,1389.4,2858.0,20,1,0,0,healthy,normal
2026-06-02,initial_1m,39.9,52.2,52.3,1548.5,3223.8,13,4,0,0,healthy,normal
2026-06-03,initial_1m,36.7,56.2,51.5,942.3,1695.6,17,4,0,0,healthy,normal
2026-06-04,initial_1m,36.1,58.9,51.9,1364.9,3258.7,19,6,0,0,healthy,warning
2026-06-05,initial_1m,31.2,52.7,52.4,1457.7,3373.2,22,3,0,0,healthy,normal
2026-06-06,initial_1m,27.5,52.7,54.8,1225.2,2825.3,19,3,0,0,healthy,normal
2026-06-07,initial_1m,29.7,58.9,48.9,1377.8,3025.3,17,3,0,0,healthy,normal
2026-06-08,initial_1m,28.4,53.2,51.3,1439.9,2489.1,14,4,0,0,healthy,normal
2026-06-09,initial_1m,45.9,68.4,49.9,1660.4,3226.6,21,5,0,0,healthy,normal
2026-06-10,initial_1m,31.4,54.3,50.4,1305.0,2863.8,21,4,0,0,healthy,normal
2026-06-11,initial_1m,30.7,52.2,52.5,1769.3,3631.8,12,4,0,0,healthy,normal
2026-06-12,initial_1m,24.2,61.0,51.5,1045.6,2483.6,13,4,0,0,healthy,normal
2026-06-13,initial_1m,37.5,63.7,50.9,1534.4,2467.6,18,5,0,0,healthy,normal
2026-06-14,initial_1m,34.3,50.9,54.2,1250.4,2510.1,22,5,0,0,healthy,normal
2026-06-15,initial_1m,24.6,50.5,53.2,1192.9,1911.7,23,3,0,0,healthy,normal
2026-06-16,initial_1m,41.6,55.8,50.1,1016.5,2119.4,15,6,0,0,healthy,warning
2026-06-17,initial_1m,33.5,50.0,51.6,1347.1,2525.9,19,4,0,0,healthy,normal
2026-06-18,initial_1m,45.9,61.2,51.0,1661.1,3541.8,14,2,0,0,healthy,normal
2026-06-19,initial_1m,32.1,53.7,49.8,1873.2,4237.2,12,5,0,0,healthy,warning
2026-06-20,initial_1m,28.2,60.4,49.5,1100.9,1977.5,12,4,1,0,degraded,warning
2026-06-21,initial_1m,29.1,66.2,51.9,1764.6,2835.8,18,6,0,0,healthy,warning
2026-06-22,initial_1m,30.9,55.3,51.5,1276.8,2361.4,18,6,0,0,healthy,warning
2026-06-23,initial_1m,27.3,53.0,50.7,1372.3,2715.6,14,3,0,0,healthy,normal
2026-06-24,initial_1m,39.9,56.3,43.5,1144.1,2322.3,14,6,0,0,healthy,warning
2026-06-25,initial_1m,41.1,66.8,53.5,1666.3,3363.9,14,5,0,0,healthy,normal
2026-06-26,initial_1m,33.9,55.4,50.8,1639.0,3750.8,14,7,0,0,healthy,warning
2026-06-27,initial_1m,37.8,59.9,51.8,1582.8,2645.5,13,4,0,0,healthy,normal
2026-06-28,initial_1m,33.4,56.4,50.5,909.1,1741.4,20,2,0,0,healthy,normal
2026-06-29,initial_1m,26.6,58.2,48.1,1243.5,2937.5,13,3,0,0,healthy,normal
2026-06-30,initial_1m,35.9,58.3,52.3,1517.2,3520.2,20,4,0,0,healthy,normal
2026-07-01,month2,36.7,62.9,53.2,988.2,2061.5,20,5,0,0,healthy,normal
2026-07-02,month2,26.4,59.4,52.3,1491.9,2666.8,23,5,0,0,healthy,normal
2026-07-03,month2,32.2,52.0,50.4,1196.1,2610.5,16,6,0,0,healthy,warning
2026-07-04,month2,32.6,55.9,48.0,1286.5,2751.2,22,4,0,0,healthy,normal
2026-07-05,month2,32.4,52.5,51.8,1028.4,2294.5,22,0,1,0,degraded,warning
2026-07-06,month2,31.4,58.1,51.3,1278.9,2943.1,19,6,0,0,healthy,warning
2026-07-07,month2,27.8,62.9,52.5,983.1,1594.8,24,2,0,0,healthy,normal
2026-07-08,month2,26.3,53.1,49.7,1270.5,2045.3,23,4,0,0,healthy,normal
2026-07-09,month2,41.3,59.8,52.6,786.4,1280.4,17,2,0,0,healthy,normal
2026-07-10,month2,33.9,55.3,52.2,1243.1,2576.4,18,2,0,0,healthy,normal
2026-07-11,month2,33.9,61.8,50.8,1396.6,2823.0,23,2,0,0,healthy,normal
2026-07-12,month2,38.2,46.1,52.0,1175.5,1886.4,14,2,0,0,healthy,normal
2026-07-13,month2,33.5,59.4,46.5,930.8,1765.7,18,5,0,0,healthy,normal
2026-07-14,month2,23.4,62.6,54.6,993.6,1651.5,14,7,0,0,healthy,warning
2026-07-15,month2,31.6,61.4,49.3,1038.8,1917.2,20,4,0,0,healthy,normal
2026-07-16,month2,32.0,52.9,55.0,1126.2,2324.0,24,5,0,0,healthy,normal
2026-07-17,month2,47.9,56.5,51.0,1206.5,1988.5,24,4,0,0,healthy,normal
2026-07-18,month2,36.1,68.2,50.9,1033.1,2401.6,17,2,0,0,healthy,normal
2026-07-19,month2,30.9,60.4,47.4,1331.0,2856.3,21,4,0,0,healthy,normal
2026-07-20,month2,23.9,51.2,52.0,468.3,1071.3,14,8,0,0,healthy,warning
2026-07-21,month2,34.1,55.2,50.0,1078.2,2570.6,25,3,0,0,healthy,normal
2026-07-22,month2,38.3,53.9,51.9,1097.0,1780.2,22,2,0,0,healthy,normal
2026-07-23,month2,36.0,62.7,51.2,1453.9,2805.8,23,3,0,0,healthy,normal
2026-07-24,month2,38.5,57.7,51.4,915.1,1976.7,24,3,0,0,healthy,normal
2026-07-25,month2,40.6,49.2,52.9,1205.0,2543.3,22,5,0,0,healthy,normal
2026-07-26,month2,31.9,61.8,50.3,885.9,1637.0,25,3,0,0,healthy,normal
2026-07-27,month2,46.8,56.8,55.6,1349.3,2604.7,20,3,0,0,healthy,normal
2026-07-28,month2,25.2,54.1,49.8,1085.3,2020.8,21,3,0,0,healthy,normal
2026-07-29,month2,40.3,65.5,47.5,824.3,1788.0,20,1,0,0,healthy,normal
2026-07-30,month2,35.6,57.2,52.6,898.8,1499.4,16,4,0,0,healthy,normal
2026-07-31,month2,26.9,53.9,50.9,1028.1,1923.4,16,1,0,0,healthy,normal
2026-08-01,month3,33.2,55.9,47.4,1032.8,2226.9,19,2,0,0,healthy,normal
2026-08-02,month3,31.5,55.6,49.5,616.0,1032.8,22,0,0,0,healthy,normal
2026-08-03,month3,49.0,54.8,51.2,893.1,1746.1,19,1,0,0,healthy,normal
2026-08-04,month3,38.4,43.5,53.8,589.2,1405.6,25,1,0,0,healthy,normal
2026-08-05,month3,21.9,55.5,52.6,1062.8,2487.8,19,2,0,0,healthy,normal
2026-08-06,month3,22.0,50.0,48.9,911.0,2018.4,21,4,0,0,healthy,normal
2026-08-07,month3,31.8,50.4,50.0,609.5,1436.3,16,3,0,0,healthy,normal
2026-08-08,month3,27.0,55.5,51.1,1169.1,2657.5,26,3,0,0,healthy,normal
2026-08-09,month3,36.3,53.6,50.0,961.0,2101.5,19,1,0,0,healthy,normal
2026-08-10,month3,34.4,54.3,52.5,776.1,1274.2,26,1,0,0,healthy,normal
2026-08-11,month3,44.4,38.5,50.0,881.1,1718.1,27,2,0,0,healthy,normal
2026-08-12,month3,29.6,73.8,48.3,625.5,1071.6,20,1,0,0,healthy,normal
