category,topic,요청,해결률,재질문율,동료재문의율,평균응답초,평균피드백
재무,법인카드,107,29.9,30.8,33.6,4.32,2.9
인사,연차,141,30.5,36.2,36.9,3.96,2.99
총무,비품,106,31.1,40.6,38.7,3.76,2.89
재무,경비,122,33.6,36.9,35.2,4.14,3.0
IT,프로그램 설치,177,35.6,30.5,40.7,4.0,2.92
IT,계정,163,38.0,32.5,42.9,4.12,3.08
IT,네트워크,197,38.1,32.5,34.5,4.14,2.94
인사,근태,114,38.6,33.3,37.7,4.38,3.17
총무,회의실,108,38.9,33.3,41.7,4.08,2.99
일반규정,교육,69,39.1,21.7,30.4,4.33,3.13
인사,급여,158,39.2,26.6,36.1,4.12,3.08
총무,택배/우편,113,40.7,27.4,33.6,4.2,3.06
인사,복지,143,41.3,31.5,31.5,3.93,3.19
일반규정,보안,75,42.7,32.0,38.7,3.94,3.16
IT,VPN,181,44.2,33.1,39.8,4.21,3.07
재무,출장비,122,45.1,32.8,36.1,3.97,3.17
일반규정,재택근무,74,45.9,40.5,45.9,3.94,3.18
